	WT_01	WT_02	WT_03	WT_04	WT_08	WT_14	WT_16	WT_15	WT_30	WT_180	gene_length
b1217	1.49703782743505	1.35042017605051	0.506553953783653	0.427318465491199	0.487162869387201	0	0.41335000232099	3.80311547297831	3.18604537100259	3.11628977058614	231
b1218	1.61478820402124	1.52386291522447	1.00871987955463	1.48914908071153	0.727593331490632	0.350797567375044	0.274325376915732	0.631041313060826	0.90630337253877	0.147674887323423	696
b1219	1.22107659244009	2.29112867290843	2.1485540361281	16.1729032949356	1.90735122967052	4.59837822830345	3.77619909720271	2.23346280132889	3.86104161829945	0.871446375472625	354
b1220	0.12388861207637	0.491941006613919	0.335479368329345	0.283003474373589	0.201662245770816	0.291707304285884	0.205290483943204	0.125891995213165	0	0.147366374327622	1395
b1221	0.398380128714524	1.24585541674995	2.15692054287227	1.06138641723126	0.69141341407137	1.50029038501721	0.439990023260597	0.944585298347488	1.29195543407847	0.315917307700248	651
b1222	0.240515086389715	0.659643914131765	0.716243185749535	0.549275491158646	0.187820473321145	0.090507400213701	0.212451779894711	0.195470822993226	0.233935615301481	0.400552706214996	1797
b1223	0	0	0	0	0.080799939990762	0	0	0	0.07549023451077	0.369290055973825	1392
b1224	0.069249670811704	0.04997396909293	0.093728278350822	0.079067242055544	0.030046774341969	0.065194629110768	0.076482640762096	0.539675175571858	0.028072273836178	0.027457656626291	3744
b1225	0.112303773263925	0.040490768965432	0.037971069069715	0.128274508178751	0.036517521625352	0.31726425002968	0.061969080967042	0.456654983334286	0	0	1539
b1226	0	0	0	0	0.237392024248626	0	0	0	0	0	711
b1227	0.127433226936894	0.460059985132662	0	0	0	0	0.14074333643362	0.777402837153731	0	0	678
b1229	0	0	0	0	0	0	0	0	0	0	90
b1230	7.1196615364363	2.93592389210372	0	5.22584127548385	0	2.87263325822154	5.61665215674004	1.03349157828868	0	0	85
b1231	27.4618604049007	23.4877654736769	6.19484242717957	12.1936296427957	3.30981536913413	4.78769496652024	8.98666254757326	1.03349157828868	0	0	85
b1232	8.30693460666993	9.17705497601283	5.89926486024552	12.1192511572915	5.20619446210674	4.15162002706874	4.75720115861316	0.41677015023814	0.249391136851736	0.121965471006671	843
b1233	5.46216504604679	3.94176700036365	4.07887681242563	5.37637503844853	1.10323427813292	2.12781921203847	1.04010662399689	0.574113181240777	0	0	459
b1234	2.38552580113278	0.757470610183841	1.29154291173182	1.08951895653941	0.372602508787485	0.538974823934465	0.316147345272534	0.969623134101676	1.97273435950637	1.02148652909719	906
b1235	1.44940166187044	2.15343510263615	1.32705668511444	4.38063121293629	0.665868029143929	0.963187566662709	0.188294341551627	1.47283970673323	2.90321984059316	6.79489589485228	1014
b1236	14.4564955735955	17.29604685359	12.0360683035774	18.4064294946745	7.8612827408979	7.78990356749376	8.50838346195861	2.70610685872374	4.27960237538493	7.01414579720154	909
b1237	118.613187715658	98.5572767987412	67.1275844816405	70.9333846115755	78.5568413781358	68.0228225843523	87.4115422556639	72.1490275092694	62.7281792943545	26.8271589005391	414
b1238	1.39891251361322	1.71620966517891	0.946702416975432	2.47571281444953	1.00150287736461	1.0535321837825	1.39053270589064	0	0.340231753310378	0	618
b1241	30.2072078413872	22.848148580867	20.6611176582589	23.5525619087852	14.0878296485426	18.7662861982666	15.6998523404081	70.5835917362733	10.1760415562108	7.22475733566837	2676
b1242	0.40019566315528	0.481397185419531	0.361105451923389	0.07615527746049	0.34728219333077	0.125587156951205	0.294663457418013	0.271111442587458	0	0.317357035013986	648
b1243	34.9629570819378	31.1947372615041	29.8987942305505	36.532619413574	16.549189380406	18.1534892412442	18.7808328266385	32.0293658693659	4.31629609661649	2.33143270926834	1632
b1244	6.57085141120197	7.79019934684089	5.46315338282541	7.12730480072224	3.05464285669812	2.91625912738929	3.31749422052217	0.476860956048192	0.114076468585216	0.334942275774645	921
b1245	4.94560227064113	3.08852854678699	2.96074876775488	3.90928779119444	1.67125335487857	2.59663452249792	1.05041889016706	0.869735347250756	0.809574938346697	0.113121431793709	909
b1246	3.41035176592922	2.70720407850237	2.71185981887573	3.40714664220998	0.499372888174106	2.64880650409593	1.31825135875343	0.433110632519821	0.207335295898661	0	1014
b1247	2.83871777915395	3.41432638274614	4.01685934984644	3.83051668113161	1.95951107951135	1.21476883829989	1.7101174732199	1.57343031002637	0.209227808741549	0	1005
b1248	2.88177188160617	2.83585117496881	2.65937900384409	4.93553321195657	1.36403352733709	1.72647749400451	0.578632712881774	0.798575182475694	0.318572995219544	0	330
b1249	1.59767030786554	4.31298437377555	1.8420941597226	3.37817506225579	1.11685098111187	1.28126573216194	1.50310827824833	0.962067857347781	1.15138378569282	0.070340963042634	1461
b1250	1.24096101726742	0.845751716633898	0.419905027293287	0.944562346104247	0.269183086988724	0.64901619541731	0.228397598880067	0.1400361761129	0.335290191998392	0.163923238435611	1254
b1251	1.1643627546717	3.57111113222246	4.92483010622996	6.31481732336995	5.11521012856561	10.4137228666746	5.46540558624421	0.887393610361605	0	0.346254418954016	297
b1252	2.40143334099465	2.77283780570057	0.893812052662608	1.64516128554148	1.32852881833001	0.452130043333729	0.530413320141627	0.243965157506601	0.291972675816724	0	720
b1253	2.8167584578229	1.71995303365029	1.90621787574789	4.0819820982808	0.987098431238122	0.815950258221536	0.478565537452715	0.220157250526303	0	0	399
b1254	2.88177188160617	4.04371140173425	2.0585702083481	1.37094306028518	2.39653972429425	2.26081299976255	0.884085856200058	0.325316160693894	0.389331947623093	1.33298181719096	540
b1255	2.90502801325205	1.92864582592975	1.96595356376049	2.12277283446252	1.05878305766447	1.20329263017927	1.02664338760806	0.354219486880308	0.282615251204665	0.691069110594293	744
b1256	0	0.781053831553539	0.54932260014723	0.463397213270602	3.43410998434276	5.34962220669595	2.83902416701548	4.53694369071422	0.658068771313244	0.1608381084776	639
b1257	1.36415799717588	0.369158520752639	0.230751766426741	0.486692930031037	0.110959249068094	1.44478134999406	0	0.346488506015857	0.207335295898661	0	507
b1258	1.20793558124985	1.61888208492301	1.05102046959685	0.98513242910653	0.561548329462262	0	0	0	1.67886917084676	0	501
b1259	0.480252086590534	0.34657353097531	0	0	0.312565227471229	0	0	0.48801816706848	1.75225661330988	5.71314649390863	180
b1260	12.8555400129324	14.0704486312759	14.1373486512489	16.390609664915	7.73935135513189	7.86681857936602	7.57244982306964	2.6126322719081	0.521071869408601	0	807
b1261	9.77492388305287	13.0108257959772	11.4661512252907	14.1782569026555	8.10548311663599	9.6115277798884	9.67634308967641	4.0467292222638	0.176108833991002	0.172253089322238	1194
b1262	14.5994040702893	19.5596617682338	15.4214026618391	26.3083168776812	13.4264630088132	13.7445091427045	12.7592332548272	3.35410361845319	0.540312416644633	0	1362
b1263	6.66275203551263	8.20908227878836	7.99153512373099	9.18453375412997	4.05434517829692	4.99768515766354	5.6834909189541	1.10087410468679	0.065817391091563	0	1596
b1264	8.85003876651903	7.9832947704896	8.90892551358173	13.07299359517	5.21992369982105	6.50920757616051	5.80351423910136	0.955478953201942	0	0.065713268105618	1563
b1265	1.92118125440411	5.54567561140115	2.60028689327335	3.29032257108296	2.50074688924056	1.80868295642883	0	0	0	0	45
b1266	0.490021390962223	0.212186602852751	0.729641297948248	0.615510346863103	0.510345024872016	0.184514636946456	0.108183310840767	0.199160609314895	0.595931266305075	0.11651507474752	882
b1267	0.974509724581188	2.009315416488	1.69582655929997	2.86117795830334	0.906073421776634	1.96593142514543	2.15259007907702	2.68783363122595	4.23260497311987	2.15270084703428	621
b1268	0.227979253346397	0.36192134170797	0.15428306492579	0.364390417038753	0.029652902768198	0.171654772527603	0.20137564215638	0.277963902899131	0.166330850969412	0.21688463604812	1896
b1269	1.67772673130079	3.56100403734973	3.87375112959294	3.94388587901025	0.963466136811855	2.97315181871067	2.83396351787641	1.10315825812401	0.840065423037676	0.234778389804579	876
b1270	1.17024162809891	1.68900785428688	1.28692085555847	1.5866752169798	0.380817544468997	0.688572487237326	0.969353019996002	0	0.533688621694524	0.348002659263555	591
b1271	0.683419035913262	1.47956638831314	0.770830254227261	1.43056430148561	0.148264513840988	0.42893345245162	0.754800593288849	0.231490165657146	0	0	759
